,Entry,ExptA,Mno,restrt,Study.y,Expt,Ref,TDBU,FTG,Ygen,Yunits,Sys1,Des1,Slevels,Smax,Dur,Gtime,Tscale,LnTscale,Tser,FinalT.x,HigherT,richness,value,Mean.value,value.st,unit.types,unit.types2,maxTscale,logMaxTime,logY,logS,TG1,MaxTscale,Study,minval,maxval,convert.min,convert.max,values.rs,logY.rs,logYst,logSc,lnTc,logSmax,logSmaxc
26,1026,404,1192,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,210,365,0.5753,-0.5528,Y,N,Y,1,70.8594,73.57585,0.963079597,cover,perc.cover,3.2877,1.190188232,4.260697632,0,1,3.2877,152,70.8594,76.2923,0,0,70.8594,4.260697632,-0.037619215,-2.079441542,-2.681405842,1.386294361,-0.693147181
27,1026,404,1192,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,210,365,0.5753,-0.5528,Y,N,Y,4,76.2923,73.57585,1.036920403,cover,perc.cover,3.0411,1.112219292,4.334572016,1.386294361,1,3.0411,152,70.8594,76.2923,0,0,76.2923,4.334572016,0.036255169,-0.693147181,-2.681405842,1.386294361,-0.693147181
28,1026,404,1192,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,210,365,0.5753,-0.5528,Y,N,Y,4,76.2923,73.57585,1.036920403,cover,perc.cover,3.2877,1.190188232,4.334572016,1.386294361,1,3.2877,152,70.8594,76.2923,0,0,76.2923,4.334572016,0.036255169,-0.693147181,-2.681405842,1.386294361,-0.693147181
29,1027,404,1193,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,300,365,0.8219,-0.1961,Y,N,Y,1,51.6688,57.5189,0.898292561,cover,perc.cover,3.0411,1.112219292,3.944854118,0,1,3.0411,152,51.6688,63.369,0,0,51.6688,3.944854118,-0.107259472,-2.079441542,-2.324678753,1.386294361,-0.693147181
30,1027,404,1193,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,300,365,0.8219,-0.1961,Y,N,Y,1,51.6688,57.5189,0.898292561,cover,perc.cover,3.2877,1.190188232,3.944854118,0,1,3.2877,152,51.6688,63.369,0,0,51.6688,3.944854118,-0.107259472,-2.079441542,-2.324678753,1.386294361,-0.693147181
31,1027,404,1193,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,300,365,0.8219,-0.1961,Y,N,Y,4,63.369,57.5189,1.101707439,cover,perc.cover,3.0411,1.112219292,4.148974783,1.386294361,1,3.0411,152,51.6688,63.369,0,0,63.369,4.148974783,0.096861193,-0.693147181,-2.324678753,1.386294361,-0.693147181
32,1027,404,1193,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,300,365,0.8219,-0.1961,Y,N,Y,4,63.369,57.5189,1.101707439,cover,perc.cover,3.2877,1.190188232,4.148974783,1.386294361,1,3.2877,152,51.6688,63.369,0,0,63.369,4.148974783,0.096861193,-0.693147181,-2.324678753,1.386294361,-0.693147181
33,1028,404,1194,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,390,365,1.0685,0.0662,Y,N,Y,1,55.3609,69.1243,0.800889123,cover,perc.cover,3.0411,1.112219292,4.013873568,0,1,3.0411,152,55.3609,82.8877,0,0,55.3609,4.013873568,-0.222032765,-2.079441542,-2.062286411,1.386294361,-0.693147181
34,1028,404,1194,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,390,365,1.0685,0.0662,Y,N,Y,1,55.3609,69.1243,0.800889123,cover,perc.cover,3.2877,1.190188232,4.013873568,0,1,3.2877,152,55.3609,82.8877,0,0,55.3609,4.013873568,-0.222032765,-2.079441542,-2.062286411,1.386294361,-0.693147181
35,1028,404,1194,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,390,365,1.0685,0.0662,Y,N,Y,4,82.8877,69.1243,1.199110877,cover,perc.cover,3.0411,1.112219292,4.41748668,1.386294361,1,3.0411,152,55.3609,82.8877,0,0,82.8877,4.41748668,0.181580346,-0.693147181,-2.062286411,1.386294361,-0.693147181
